rate_id,rate_date,from_currency,to_currency,exchange_rate,created_at
51,2022-02-20,USD,EUR,0.83926,2026-03-01 20:26:44
52,2022-02-21,USD,EUR,0.838775,2026-03-01 20:26:44
53,2022-02-22,USD,EUR,0.842366,2026-03-01 20:26:44
54,2022-02-23,USD,EUR,0.843146,2026-03-01 20:26:44
55,2022-02-24,USD,EUR,0.844184,2026-03-01 20:26:44
56,2022-02-25,USD,EUR,0.842906,2026-03-01 20:26:44
57,2022-02-26,USD,EUR,0.841395,2026-03-01 20:26:44
58,2022-02-27,USD,EUR,0.840057,2026-03-01 20:26:44
59,2022-02-28,USD,EUR,0.841267,2026-03-01 20:26:44
60,2022-03-01,USD,EUR,0.839964,2026-03-01 20:26:44
61,2022-03-02,USD,EUR,0.840851,2026-03-01 20:26:44
62,2022-03-03,USD,EUR,0.847264,2026-03-01 20:26:44
63,2022-03-04,USD,EUR,0.849966,2026-03-01 20:26:44
64,2022-03-05,USD,EUR,0.848946,2026-03-01 20:26:44
65,2022-03-06,USD,EUR,0.852685,2026-03-01 20:26:44
66,2022-03-07,USD,EUR,0.851405,2026-03-01 20:26:44
67,2022-03-08,USD,EUR,0.845065,2026-03-01 20:26:44
68,2022-03-09,USD,EUR,0.841944,2026-03-01 20:26:44
69,2022-03-10,USD,EUR,0.836187,2026-03-01 20:26:44
70,2022-03-11,USD,EUR,0.835105,2026-03-01 20:26:44
71,2022-03-12,USD,EUR,0.835156,2026-03-01 20:26:44
72,2022-03-13,USD,EUR,0.840296,2026-03-01 20:26:44
73,2022-03-14,USD,EUR,0.841298,2026-03-01 20:26:44
74,2022-03-15,USD,EUR,0.840617,2026-03-01 20:26:44
75,2022-03-16,USD,EUR,0.84317,2026-03-01 20:26:44
76,2022-03-17,USD,EUR,0.836361,2026-03-01 20:26:44
77,2022-03-18,USD,EUR,0.837077,2026-03-01 20:26:44
78,2022-03-19,USD,EUR,0.839439,2026-03-01 20:26:44
79,2022-03-20,USD,EUR,0.834898,2026-03-01 20:26:44
80,2022-03-21,USD,EUR,0.838399,2026-03-01 20:26:44
81,2022-03-22,USD,EUR,0.839434,2026-03-01 20:26:44
82,2022-03-23,USD,EUR,0.838152,2026-03-01 20:26:44
83,2022-03-24,USD,EUR,0.840092,2026-03-01 20:26:44
84,2022-03-25,USD,EUR,0.847104,2026-03-01 20:26:44
85,2022-03-26,USD,EUR,0.847663,2026-03-01 20:26:44
86,2022-03-27,USD,EUR,0.848429,2026-03-01 20:26:44
87,2022-03-28,USD,EUR,0.846996,2026-03-01 20:26:44
88,2022-03-29,USD,EUR,0.844357,2026-03-01 20:26:44
89,2022-03-30,USD,EUR,0.846925,2026-03-01 20:26:44
90,2022-03-31,USD,EUR,0.844267,2026-03-01 20:26:44
91,2022-04-01,USD,EUR,0.844482,2026-03-01 20:26:44
92,2022-04-02,USD,EUR,0.843,2026-03-01 20:26:44
93,2022-04-03,USD,EUR,0.844475,2026-03-01 20:26:44
94,2022-04-04,USD,EUR,0.845502,2026-03-01 20:26:44
95,2022-04-05,USD,EUR,0.848717,2026-03-01 20:26:44
96,2022-04-06,USD,EUR,0.847127,2026-03-01 20:26:44
97,2022-04-07,USD,EUR,0.846284,2026-03-01 20:26:44
98,2022-04-08,USD,EUR,0.843249,2026-03-01 20:26:44
99,2022-04-09,USD,EUR,0.841871,2026-03-01 20:26:44
100,2022-04-10,USD,EUR,0.84303,2026-03-01 20:26:44
101,2022-04-11,USD,EUR,0.845366,2026-03-01 20:26:44
102,2022-04-12,USD,EUR,0.842509,2026-03-01 20:26:44
103,2022-04-13,USD,EUR,0.845192,2026-03-01 20:26:44
104,2022-04-14,USD,EUR,0.849395,2026-03-01 20:26:44
105,2022-04-15,USD,EUR,0.850677,2026-03-01 20:26:44
106,2022-04-16,USD,EUR,0.856541,2026-03-01 20:26:44
107,2022-04-17,USD,EUR,0.85411,2026-03-01 20:26:44
108,2022-04-18,USD,EUR,0.850218,2026-03-01 20:26:44
109,2022-04-19,USD,EUR,0.84469,2026-03-01 20:26:44
110,2022-04-20,USD,EUR,0.849327,2026-03-01 20:26:44
111,2022-04-21,USD,EUR,0.85136,2026-03-01 20:26:44
112,2022-04-22,USD,EUR,0.851181,2026-03-01 20:26:44
113,2022-04-23,USD,EUR,0.852049,2026-03-01 20:26:44
114,2022-04-24,USD,EUR,0.848537,2026-03-01 20:26:44
115,2022-04-25,USD,EUR,0.856169,2026-03-01 20:26:44
116,2022-04-26,USD,EUR,0.856569,2026-03-01 20:26:44
117,2022-04-27,USD,EUR,0.856906,2026-03-01 20:26:44
118,2022-04-28,USD,EUR,0.859182,2026-03-01 20:26:44
119,2022-04-29,USD,EUR,0.860692,2026-03-01 20:26:44
120,2022-04-30,USD,EUR,0.861392,2026-03-01 20:26:44
121,2022-05-01,USD,EUR,0.858895,2026-03-01 20:26:44
122,2022-05-02,USD,EUR,0.860375,2026-03-01 20:26:44
123,2022-05-03,USD,EUR,0.866322,2026-03-01 20:26:44
124,2022-05-04,USD,EUR,0.870598,2026-03-01 20:26:44
125,2022-05-05,USD,EUR,0.875689,2026-03-01 20:26:44
126,2022-05-06,USD,EUR,0.874044,2026-03-01 20:26:44
127,2022-05-07,USD,EUR,0.870875,2026-03-01 20:26:44
128,2022-05-08,USD,EUR,0.870468,2026-03-01 20:26:44
129,2022-05-09,USD,EUR,0.870639,2026-03-01 20:26:44
130,2022-05-10,USD,EUR,0.874131,2026-03-01 20:26:44
131,2022-05-11,USD,EUR,0.868721,2026-03-01 20:26:44
132,2022-05-12,USD,EUR,0.873598,2026-03-01 20:26:44
133,2022-05-13,USD,EUR,0.873086,2026-03-01 20:26:44
134,2022-05-14,USD,EUR,0.871716,2026-03-01 20:26:44
135,2022-05-15,USD,EUR,0.868483,2026-03-01 20:26:44
136,2022-05-16,USD,EUR,0.863228,2026-03-01 20:26:44
137,2022-05-17,USD,EUR,0.865829,2026-03-01 20:26:44
138,2022-05-18,USD,EUR,0.866056,2026-03-01 20:26:44
139,2022-05-19,USD,EUR,0.861967,2026-03-01 20:26:44
140,2022-05-20,USD,EUR,0.857881,2026-03-01 20:26:44
141,2022-05-21,USD,EUR,0.85682,2026-03-01 20:26:44
142,2022-05-22,USD,EUR,0.86207,2026-03-01 20:26:44
143,2022-05-23,USD,EUR,0.861245,2026-03-01 20:26:44
144,2022-05-24,USD,EUR,0.856509,2026-03-01 20:26:44
145,2022-05-25,USD,EUR,0.855732,2026-03-01 20:26:44
146,2022-05-26,USD,EUR,0.854872,2026-03-01 20:26:44
147,2022-05-27,USD,EUR,0.84646,2026-03-01 20:26:44
148,2022-05-28,USD,EUR,0.846286,2026-03-01 20:26:44
149,2022-05-29,USD,EUR,0.845565,2026-03-01 20:26:44
150,2022-05-30,USD,EUR,0.847719,2026-03-01 20:26:44
151,2022-05-31,USD,EUR,0.853475,2026-03-01 20:26:44
152,2022-06-01,USD,EUR,0.857,2026-03-01 20:26:44
153,2022-06-02,USD,EUR,0.85615,2026-03-01 20:26:44
154,2022-06-03,USD,EUR,0.85268,2026-03-01 20:26:44
155,2022-06-04,USD,EUR,0.860752,2026-03-01 20:26:44
156,2022-06-05,USD,EUR,0.860933,2026-03-01 20:26:44
157,2022-06-06,USD,EUR,0.860971,2026-03-01 20:26:44
158,2022-06-07,USD,EUR,0.86089,2026-03-01 20:26:44
159,2022-06-08,USD,EUR,0.861509,2026-03-01 20:26:44
160,2022-06-09,USD,EUR,0.861048,2026-03-01 20:26:44
161,2022-06-10,USD,EUR,0.859234,2026-03-01 20:26:44
162,2022-06-11,USD,EUR,0.857508,2026-03-01 20:26:44
163,2022-06-12,USD,EUR,0.8574,2026-03-01 20:26:44
164,2022-06-13,USD,EUR,0.855688,2026-03-01 20:26:44
165,2022-06-14,USD,EUR,0.853451,2026-03-01 20:26:44
166,2022-06-15,USD,EUR,0.853778,2026-03-01 20:26:44
167,2022-06-16,USD,EUR,0.852975,2026-03-01 20:26:44
168,2022-06-17,USD,EUR,0.857682,2026-03-01 20:26:44
169,2022-06-18,USD,EUR,0.849386,2026-03-01 20:26:44
170,2022-06-19,USD,EUR,0.852784,2026-03-01 20:26:44
171,2022-06-20,USD,EUR,0.856681,2026-03-01 20:26:44
172,2022-06-21,USD,EUR,0.850192,2026-03-01 20:26:44
173,2022-06-22,USD,EUR,0.849119,2026-03-01 20:26:44
174,2022-06-23,USD,EUR,0.847959,2026-03-01 20:26:44
175,2022-06-24,USD,EUR,0.843591,2026-03-01 20:26:44
176,2022-06-25,USD,EUR,0.841185,2026-03-01 20:26:44
177,2022-06-26,USD,EUR,0.837763,2026-03-01 20:26:44
178,2022-06-27,USD,EUR,0.843154,2026-03-01 20:26:44
179,2022-06-28,USD,EUR,0.846044,2026-03-01 20:26:44
180,2022-06-29,USD,EUR,0.849989,2026-03-01 20:26:44
181,2022-06-30,USD,EUR,0.852234,2026-03-01 20:26:44
182,2022-07-01,USD,EUR,0.84871,2026-03-01 20:26:44
183,2022-07-02,USD,EUR,0.847074,2026-03-01 20:26:44
184,2022-07-03,USD,EUR,0.848589,2026-03-01 20:26:44
185,2022-07-04,USD,EUR,0.844792,2026-03-01 20:26:44
186,2022-07-05,USD,EUR,0.846996,2026-03-01 20:26:44
187,2022-07-06,USD,EUR,0.846245,2026-03-01 20:26:44
188,2022-07-07,USD,EUR,0.845078,2026-03-01 20:26:44
189,2022-07-08,USD,EUR,0.847276,2026-03-01 20:26:44
190,2022-07-09,USD,EUR,0.848651,2026-03-01 20:26:44
191,2022-07-10,USD,EUR,0.847524,2026-03-01 20:26:44
192,2022-07-11,USD,EUR,0.851126,2026-03-01 20:26:44
193,2022-07-12,USD,EUR,0.847755,2026-03-01 20:26:44
194,2022-07-13,USD,EUR,0.849665,2026-03-01 20:26:44
195,2022-07-14,USD,EUR,0.851508,2026-03-01 20:26:44
196,2022-07-15,USD,EUR,0.850537,2026-03-01 20:26:44
197,2022-07-16,USD,EUR,0.851548,2026-03-01 20:26:44
198,2022-07-17,USD,EUR,0.847648,2026-03-01 20:26:44
199,2022-07-18,USD,EUR,0.850517,2026-03-01 20:26:44
200,2022-07-19,USD,EUR,0.849935,2026-03-01 20:26:44
201,2022-07-20,USD,EUR,0.848303,2026-03-01 20:26:44
202,2022-07-21,USD,EUR,0.851564,2026-03-01 20:26:44
203,2022-07-22,USD,EUR,0.849363,2026-03-01 20:26:44
204,2022-07-23,USD,EUR,0.844986,2026-03-01 20:26:44
205,2022-07-24,USD,EUR,0.840175,2026-03-01 20:26:44
206,2022-07-25,USD,EUR,0.842037,2026-03-01 20:26:44
207,2022-07-26,USD,EUR,0.83809,2026-03-01 20:26:44
208,2022-07-27,USD,EUR,0.84349,2026-03-01 20:26:44
209,2022-07-28,USD,EUR,0.837075,2026-03-01 20:26:44
210,2022-07-29,USD,EUR,0.842288,2026-03-01 20:26:44
211,2022-07-30,USD,EUR,0.842934,2026-03-01 20:26:44
212,2022-07-31,USD,EUR,0.84263,2026-03-01 20:26:44
213,2022-08-01,USD,EUR,0.840943,2026-03-01 20:26:44
214,2022-08-02,USD,EUR,0.842169,2026-03-01 20:26:44
215,2022-08-03,USD,EUR,0.842047,2026-03-01 20:26:44
216,2022-08-04,USD,EUR,0.845452,2026-03-01 20:26:44
217,2022-08-05,USD,EUR,0.8458,2026-03-01 20:26:44
218,2022-08-06,USD,EUR,0.84626,2026-03-01 20:26:44
219,2022-08-07,USD,EUR,0.845128,2026-03-01 20:26:44
220,2022-08-08,USD,EUR,0.844946,2026-03-01 20:26:44
221,2022-08-09,USD,EUR,0.845894,2026-03-01 20:26:44
222,2022-08-10,USD,EUR,0.840604,2026-03-01 20:26:44
223,2022-08-11,USD,EUR,0.836457,2026-03-01 20:26:44
224,2022-08-12,USD,EUR,0.838732,2026-03-01 20:26:44
225,2022-08-13,USD,EUR,0.839252,2026-03-01 20:26:44
226,2022-08-14,USD,EUR,0.83868,2026-03-01 20:26:44
227,2022-08-15,USD,EUR,0.838731,2026-03-01 20:26:44
228,2022-08-16,USD,EUR,0.839795,2026-03-01 20:26:44
229,2022-08-17,USD,EUR,0.83813,2026-03-01 20:26:44
230,2022-08-18,USD,EUR,0.835738,2026-03-01 20:26:44
231,2022-08-19,USD,EUR,0.836332,2026-03-01 20:26:44
232,2022-08-20,USD,EUR,0.833334,2026-03-01 20:26:44
233,2022-08-21,USD,EUR,0.834575,2026-03-01 20:26:44
234,2022-08-22,USD,EUR,0.82938,2026-03-01 20:26:44
235,2022-08-23,USD,EUR,0.832508,2026-03-01 20:26:44
236,2022-08-24,USD,EUR,0.833945,2026-03-01 20:26:44
237,2022-08-25,USD,EUR,0.834722,2026-03-01 20:26:44
238,2022-08-26,USD,EUR,0.837727,2026-03-01 20:26:44
239,2022-08-27,USD,EUR,0.842849,2026-03-01 20:26:44
240,2022-08-28,USD,EUR,0.845982,2026-03-01 20:26:44
241,2022-08-29,USD,EUR,0.840289,2026-03-01 20:26:44
242,2022-08-30,USD,EUR,0.836353,2026-03-01 20:26:44
243,2022-08-31,USD,EUR,0.834435,2026-03-01 20:26:44
244,2022-09-01,USD,EUR,0.834509,2026-03-01 20:26:44
245,2022-09-02,USD,EUR,0.836088,2026-03-01 20:26:44
246,2022-09-03,USD,EUR,0.833862,2026-03-01 20:26:44
247,2022-09-04,USD,EUR,0.834427,2026-03-01 20:26:44
248,2022-09-05,USD,EUR,0.832116,2026-03-01 20:26:44
249,2022-09-06,USD,EUR,0.830248,2026-03-01 20:26:44
250,2022-09-07,USD,EUR,0.825974,2026-03-01 20:26:44
251,2022-09-08,USD,EUR,0.823179,2026-03-01 20:26:44
252,2022-09-09,USD,EUR,0.819107,2026-03-01 20:26:44
253,2022-09-10,USD,EUR,0.816178,2026-03-01 20:26:44
254,2022-09-11,USD,EUR,0.819329,2026-03-01 20:26:44
255,2022-09-12,USD,EUR,0.816479,2026-03-01 20:26:44
256,2022-09-13,USD,EUR,0.824386,2026-03-01 20:26:44
257,2022-09-14,USD,EUR,0.825872,2026-03-01 20:26:44
258,2022-09-15,USD,EUR,0.826426,2026-03-01 20:26:44
259,2022-09-16,USD,EUR,0.823826,2026-03-01 20:26:44
260,2022-09-17,USD,EUR,0.825937,2026-03-01 20:26:44
261,2022-09-18,USD,EUR,0.824191,2026-03-01 20:26:44
262,2022-09-19,USD,EUR,0.824554,2026-03-01 20:26:44
263,2022-09-20,USD,EUR,0.832319,2026-03-01 20:26:44
264,2022-09-21,USD,EUR,0.832021,2026-03-01 20:26:44
265,2022-09-22,USD,EUR,0.835526,2026-03-01 20:26:44
266,2022-09-23,USD,EUR,0.833371,2026-03-01 20:26:44
267,2022-09-24,USD,EUR,0.833258,2026-03-01 20:26:44
268,2022-09-25,USD,EUR,0.838676,2026-03-01 20:26:44
269,2022-09-26,USD,EUR,0.836746,2026-03-01 20:26:44
270,2022-09-27,USD,EUR,0.842316,2026-03-01 20:26:44
271,2022-09-28,USD,EUR,0.844497,2026-03-01 20:26:44
272,2022-09-29,USD,EUR,0.842753,2026-03-01 20:26:44
273,2022-09-30,USD,EUR,0.844702,2026-03-01 20:26:44
274,2022-10-01,USD,EUR,0.847712,2026-03-01 20:26:44
275,2022-10-02,USD,EUR,0.84964,2026-03-01 20:26:44
276,2022-10-03,USD,EUR,0.84476,2026-03-01 20:26:44
277,2022-10-04,USD,EUR,0.842507,2026-03-01 20:26:44
278,2022-10-05,USD,EUR,0.841737,2026-03-01 20:26:44
279,2022-10-06,USD,EUR,0.841502,2026-03-01 20:26:44
280,2022-10-07,USD,EUR,0.843412,2026-03-01 20:26:44
281,2022-10-08,USD,EUR,0.843956,2026-03-01 20:26:44
282,2022-10-09,USD,EUR,0.839831,2026-03-01 20:26:44
283,2022-10-10,USD,EUR,0.840996,2026-03-01 20:26:44
284,2022-10-11,USD,EUR,0.842874,2026-03-01 20:26:44
285,2022-10-12,USD,EUR,0.844599,2026-03-01 20:26:44
286,2022-10-13,USD,EUR,0.847945,2026-03-01 20:26:44
287,2022-10-14,USD,EUR,0.850534,2026-03-01 20:26:44
288,2022-10-15,USD,EUR,0.85196,2026-03-01 20:26:44
289,2022-10-16,USD,EUR,0.851736,2026-03-01 20:26:44
290,2022-10-17,USD,EUR,0.846562,2026-03-01 20:26:44
291,2022-10-18,USD,EUR,0.84789,2026-03-01 20:26:44
292,2022-10-19,USD,EUR,0.84853,2026-03-01 20:26:44
293,2022-10-20,USD,EUR,0.849369,2026-03-01 20:26:44
294,2022-10-21,USD,EUR,0.845399,2026-03-01 20:26:44
295,2022-10-22,USD,EUR,0.842052,2026-03-01 20:26:44
296,2022-10-23,USD,EUR,0.845301,2026-03-01 20:26:44
297,2022-10-24,USD,EUR,0.845173,2026-03-01 20:26:44
298,2022-10-25,USD,EUR,0.847281,2026-03-01 20:26:44
299,2022-10-26,USD,EUR,0.847363,2026-03-01 20:26:44
300,2022-10-27,USD,EUR,0.84745,2026-03-01 20:26:44
301,2022-10-28,USD,EUR,0.850362,2026-03-01 20:26:44
302,2022-10-29,USD,EUR,0.84875,2026-03-01 20:26:44
303,2022-10-30,USD,EUR,0.849044,2026-03-01 20:26:44
304,2022-10-31,USD,EUR,0.847601,2026-03-01 20:26:44
305,2022-11-01,USD,EUR,0.846247,2026-03-01 20:26:44
306,2022-11-02,USD,EUR,0.845283,2026-03-01 20:26:44
307,2022-11-03,USD,EUR,0.845966,2026-03-01 20:26:44
308,2022-11-04,USD,EUR,0.844478,2026-03-01 20:26:44
309,2022-11-05,USD,EUR,0.848366,2026-03-01 20:26:44
310,2022-11-06,USD,EUR,0.845584,2026-03-01 20:26:44
311,2022-11-07,USD,EUR,0.845,2026-03-01 20:26:44
312,2022-11-08,USD,EUR,0.843634,2026-03-01 20:26:44
313,2022-11-09,USD,EUR,0.848113,2026-03-01 20:26:44
314,2022-11-10,USD,EUR,0.848718,2026-03-01 20:26:44
315,2022-11-11,USD,EUR,0.851927,2026-03-01 20:26:44
316,2022-11-12,USD,EUR,0.847297,2026-03-01 20:26:44
317,2022-11-13,USD,EUR,0.848121,2026-03-01 20:26:44
318,2022-11-14,USD,EUR,0.850884,2026-03-01 20:26:44
319,2022-11-15,USD,EUR,0.851135,2026-03-01 20:26:44
320,2022-11-16,USD,EUR,0.854458,2026-03-01 20:26:44
321,2022-11-17,USD,EUR,0.852835,2026-03-01 20:26:44
322,2022-11-18,USD,EUR,0.857244,2026-03-01 20:26:44
323,2022-11-19,USD,EUR,0.86449,2026-03-01 20:26:44
324,2022-11-20,USD,EUR,0.863335,2026-03-01 20:26:44
325,2022-11-21,USD,EUR,0.861921,2026-03-01 20:26:44
326,2022-11-22,USD,EUR,0.866518,2026-03-01 20:26:44
327,2022-11-23,USD,EUR,0.871541,2026-03-01 20:26:44
328,2022-11-24,USD,EUR,0.869867,2026-03-01 20:26:44
329,2022-11-25,USD,EUR,0.868523,2026-03-01 20:26:44
330,2022-11-26,USD,EUR,0.867621,2026-03-01 20:26:44
331,2022-11-27,USD,EUR,0.863352,2026-03-01 20:26:44
332,2022-11-28,USD,EUR,0.860445,2026-03-01 20:26:44
333,2022-11-29,USD,EUR,0.85728,2026-03-01 20:26:44
334,2022-11-30,USD,EUR,0.854866,2026-03-01 20:26:44
335,2022-12-01,USD,EUR,0.854751,2026-03-01 20:26:44
336,2022-12-02,USD,EUR,0.855479,2026-03-01 20:26:44
337,2022-12-03,USD,EUR,0.860347,2026-03-01 20:26:44
338,2022-12-04,USD,EUR,0.8572,2026-03-01 20:26:44
339,2022-12-05,USD,EUR,0.860292,2026-03-01 20:26:44
340,2022-12-06,USD,EUR,0.859612,2026-03-01 20:26:44
341,2022-12-07,USD,EUR,0.85945,2026-03-01 20:26:44
342,2022-12-08,USD,EUR,0.861572,2026-03-01 20:26:44
343,2022-12-09,USD,EUR,0.858029,2026-03-01 20:26:44
344,2022-12-10,USD,EUR,0.859227,2026-03-01 20:26:44
345,2022-12-11,USD,EUR,0.859745,2026-03-01 20:26:44
346,2022-12-12,USD,EUR,0.861292,2026-03-01 20:26:44
347,2022-12-13,USD,EUR,0.862199,2026-03-01 20:26:44
348,2022-12-14,USD,EUR,0.869985,2026-03-01 20:26:44
349,2022-12-15,USD,EUR,0.867948,2026-03-01 20:26:44
350,2022-12-16,USD,EUR,0.866256,2026-03-01 20:26:44
351,2022-12-17,USD,EUR,0.864274,2026-03-01 20:26:44
352,2022-12-18,USD,EUR,0.862511,2026-03-01 20:26:44
353,2022-12-19,USD,EUR,0.860493,2026-03-01 20:26:44
354,2022-12-20,USD,EUR,0.864245,2026-03-01 20:26:44
355,2022-12-21,USD,EUR,0.868749,2026-03-01 20:26:44
356,2022-12-22,USD,EUR,0.866928,2026-03-01 20:26:44
357,2022-12-23,USD,EUR,0.864282,2026-03-01 20:26:44
358,2022-12-24,USD,EUR,0.865771,2026-03-01 20:26:44
359,2022-12-25,USD,EUR,0.864015,2026-03-01 20:26:44
360,2022-12-26,USD,EUR,0.866015,2026-03-01 20:26:44
361,2022-12-27,USD,EUR,0.866653,2026-03-01 20:26:44
362,2022-12-28,USD,EUR,0.861848,2026-03-01 20:26:44
363,2022-12-29,USD,EUR,0.866743,2026-03-01 20:26:44
364,2022-12-30,USD,EUR,0.872459,2026-03-01 20:26:44
365,2022-12-31,USD,EUR,0.870496,2026-03-01 20:26:44
366,2023-01-01,USD,EUR,0.869255,2026-03-01 20:26:44
367,2023-01-02,USD,EUR,0.87016,2026-03-01 20:26:44
368,2023-01-03,USD,EUR,0.871221,2026-03-01 20:26:44
369,2023-01-04,USD,EUR,0.87332,2026-03-01 20:26:44
370,2023-01-05,USD,EUR,0.87977,2026-03-01 20:26:44
371,2023-01-06,USD,EUR,0.879194,2026-03-01 20:26:44
372,2023-01-07,USD,EUR,0.87662,2026-03-01 20:26:44
373,2023-01-08,USD,EUR,0.872195,2026-03-01 20:26:44
374,2023-01-09,USD,EUR,0.869857,2026-03-01 20:26:44
375,2023-01-10,USD,EUR,0.869745,2026-03-01 20:26:44
376,2023-01-11,USD,EUR,0.875477,2026-03-01 20:26:44
377,2023-01-12,USD,EUR,0.873812,2026-03-01 20:26:44
378,2023-01-13,USD,EUR,0.874523,2026-03-01 20:26:44
379,2023-01-14,USD,EUR,0.874465,2026-03-01 20:26:44
380,2023-01-15,USD,EUR,0.878275,2026-03-01 20:26:44
381,2023-01-16,USD,EUR,0.886438,2026-03-01 20:26:44
382,2023-01-17,USD,EUR,0.88471,2026-03-01 20:26:44
383,2023-01-18,USD,EUR,0.883119,2026-03-01 20:26:44
384,2023-01-19,USD,EUR,0.886498,2026-03-01 20:26:44
385,2023-01-20,USD,EUR,0.888709,2026-03-01 20:26:44
386,2023-01-21,USD,EUR,0.894737,2026-03-01 20:26:44
387,2023-01-22,USD,EUR,0.896647,2026-03-01 20:26:44
388,2023-01-23,USD,EUR,0.895462,2026-03-01 20:26:44
389,2023-01-24,USD,EUR,0.897396,2026-03-01 20:26:44
390,2023-01-25,USD,EUR,0.901043,2026-03-01 20:26:44
391,2023-01-26,USD,EUR,0.903749,2026-03-01 20:26:44
392,2023-01-27,USD,EUR,0.905424,2026-03-01 20:26:44
393,2023-01-28,USD,EUR,0.908964,2026-03-01 20:26:44
394,2023-01-29,USD,EUR,0.91286,2026-03-01 20:26:44
395,2023-01-30,USD,EUR,0.917489,2026-03-01 20:26:44
396,2023-01-31,USD,EUR,0.919666,2026-03-01 20:26:44
397,2023-02-01,USD,EUR,0.919097,2026-03-01 20:26:44
398,2023-02-02,USD,EUR,0.919585,2026-03-01 20:26:44
399,2023-02-03,USD,EUR,0.923653,2026-03-01 20:26:44
400,2023-02-04,USD,EUR,0.920886,2026-03-01 20:26:44
401,2023-02-05,USD,EUR,0.922125,2026-03-01 20:26:44
402,2023-02-06,USD,EUR,0.920791,2026-03-01 20:26:44
403,2023-02-07,USD,EUR,0.920881,2026-03-01 20:26:44
404,2023-02-08,USD,EUR,0.925199,2026-03-01 20:26:44
405,2023-02-09,USD,EUR,0.925841,2026-03-01 20:26:44
406,2023-02-10,USD,EUR,0.925992,2026-03-01 20:26:44
407,2023-02-11,USD,EUR,0.921384,2026-03-01 20:26:44
408,2023-02-12,USD,EUR,0.9239,2026-03-01 20:26:44
409,2023-02-13,USD,EUR,0.926081,2026-03-01 20:26:44
410,2023-02-14,USD,EUR,0.933445,2026-03-01 20:26:44
